"lang"
{
"Language"		"ukrainian"
"jaeger.ShieldbugHint2"		"<clr:198,226,255><B>Яґер:<B> Стріляйте в черево позаду!"


"[english]jaeger.Parasite0"		"<clr:198,226,255><B>Jaeger:<B> Parasite!"
"jaeger.Parasite0"		"<clr:198,226,255><B>Яґер:<B> Паразит!"

"[english]jaeger.Parasite1"		"<clr:198,226,255><B>Jaeger:<B> Parasite, kill it!"
"jaeger.Parasite1"		"<clr:198,226,255><B>Яґер:<B> Паразит, вбийте його!"

"[english]jaeger.Parasite2"		"<clr:198,226,255><B>Jaeger:<B> Watch out, parasite!"
"jaeger.Parasite2"		"<clr:198,226,255><B>Яґер:<B> Стережіться, паразит!"

"[english]jaeger.BeenInfested0"		"<clr:198,226,255><B>Jaeger:<B> <I>Verdammte Scheiße!<I> Get it off!"
"jaeger.BeenInfested0"		"<clr:198,226,255><B>Яґер:<B> Лайно собаче! Зніміть його!"

"[english]jaeger.BeenInfested1"		"<clr:198,226,255><B>Jaeger:<B> Get it off!"
"jaeger.BeenInfested1"		"<clr:198,226,255><B>Яґер:<B> Зніміть його!"

"[english]jaeger.BeenInfested2"		"<clr:198,226,255><B>Jaeger:<B> Get it off me!"
"jaeger.BeenInfested2"		"<clr:198,226,255><B>Яґер:<B> Зніміть його з мене!"

"[english]jaeger.BeenInfested3"		"<clr:198,226,255><B>Jaeger:<B> It's on me!"
"jaeger.BeenInfested3"		"<clr:198,226,255><B>Яґер:<B> Він на мені!"

"[english]jaeger.SwarmEggs0"		"<clr:198,226,255><B>Jaeger:<B> Swarm eggs!"
"jaeger.SwarmEggs0"		"<clr:198,226,255><B>Яґер:<B> Яйця!"

"[english]jaeger.SwarmEggs1"		"<clr:198,226,255><B>Jaeger:<B> Swarm eggs, destroy them!"
"jaeger.SwarmEggs1"		"<clr:198,226,255><B>Яґер:<B> Яйця, знищіть їх!"

"[english]jaeger.SwarmEggs2"		"<clr:198,226,255><B>Jaeger:<B> Watch out, Swarm eggs!"
"jaeger.SwarmEggs2"		"<clr:198,226,255><B>Яґер:<B> Стережіться, яйця!"

"[english]jaeger.Grenade0"		"<clr:198,226,255><B>Jaeger:<B> Clear!"
"jaeger.Grenade0"		"<clr:198,226,255><B>Яґер:<B> Чисто!"

"[english]jaeger.Grenade1"		"<clr:198,226,255><B>Jaeger:<B> Grenade!"
"jaeger.Grenade1"		"<clr:198,226,255><B>Яґер:<B> Граната!"

"[english]jaeger.AlienTooClose0"		"<clr:198,226,255><B>Jaeger:<B> Get it off!"
"jaeger.AlienTooClose0"		"<clr:198,226,255><B>Яґер:<B> Заберіть його!"

"[english]jaeger.AlienTooClose1"		"<clr:198,226,255><B>Jaeger:<B> Hostile on me!"
"jaeger.AlienTooClose1"		"<clr:198,226,255><B>Яґер:<B> На мені ворог!"

"[english]jaeger.AlienTooClose2"		"<clr:198,226,255><B>Jaeger:<B> Kill it!"
"jaeger.AlienTooClose2"		"<clr:198,226,255><B>Яґер:<B> Вбийте його!"

"[english]jaeger.AlienTooClose3"		"<clr:198,226,255><B>Jaeger:<B> On me!"
"jaeger.AlienTooClose3"		"<clr:198,226,255><B>Яґер:<B> На мені!"

"[english]jaeger.MadFiring0"		"<clr:198,226,255><B>Jaeger:<B> Come and get some!"
"jaeger.MadFiring0"		"<clr:198,226,255><B>Яґер:<B> Підходь і отримаєш!"

"[english]jaeger.MadFiring1"		"<clr:198,226,255><B>Jaeger:<B> <I>Stirb, Bastard!"
"jaeger.MadFiring1"		"<clr:198,226,255><B>Яґер:<B> Здохни, виродку!"

"[english]jaeger.MadFiring2"		"<clr:198,226,255><B>Jaeger:<B> <I>Euch mach ich kalt!"
"jaeger.MadFiring2"		"<clr:198,226,255><B>Яґер:<B> Ойх мах іх кальт!"

"[english]jaeger.MadFiring3"		"<clr:198,226,255><B>Jaeger:<B> Rock and roll!"
"jaeger.MadFiring3"		"<clr:198,226,255><B>Яґер:<B> Рок-н-рол!"

"[english]jaeger.MadFiring4"		"<clr:198,226,255><B>Jaeger:<B> You want some?"
"jaeger.MadFiring4"		"<clr:198,226,255><B>Яґер:<B> Хочеш ще?"

"[english]jaeger.BreachedDoor0"		"<clr:198,226,255><B>Jaeger:<B> Look out!"
"jaeger.BreachedDoor0"		"<clr:198,226,255><B>Яґер:<B> Обережно!"

"[english]jaeger.BreachedDoor1"		"<clr:198,226,255><B>Jaeger:<B> They're through!"
"jaeger.BreachedDoor1"		"<clr:198,226,255><B>Яґер:<B> Вони прорвалися!"

"[english]jaeger.BreachedDoor2"		"<clr:198,226,255><B>Jaeger:<B> They've breached!"
"jaeger.BreachedDoor2"		"<clr:198,226,255><B>Яґер:<B> Вони пробилися!"

"[english]jaeger.MarineDown0"		"<clr:198,226,255><B>Jaeger:<B> Marine down!"
"jaeger.MarineDown0"		"<clr:198,226,255><B>Яґер:<B> У нас втрати!"

"[english]jaeger.SmallPain0"		"<clr:198,226,255><B>Jaeger:<B> [Pain]"
"jaeger.SmallPain0"		"<clr:198,226,255><B>Яґер:<B> [Біль]"

"[english]jaeger.SmallPain1"		"<clr:198,226,255><B>Jaeger:<B> [Pain]"
"jaeger.SmallPain1"		"<clr:198,226,255><B>Яґер:<B> [Біль]"

"[english]jaeger.SmallPain2"		"<clr:198,226,255><B>Jaeger:<B> [Pain]"
"jaeger.SmallPain2"		"<clr:198,226,255><B>Яґер:<B> [Біль]"

"[english]jaeger.LargePain0"		"<clr:198,226,255><B>Jaeger:<B> [Pain]"
"jaeger.LargePain0"		"<clr:198,226,255><B>Яґер:<B> [Біль]"

"[english]jaeger.LargePain1"		"<clr:198,226,255><B>Jaeger:<B> [Pain]"
"jaeger.LargePain1"		"<clr:198,226,255><B>Яґер:<B> [Біль]"

"[english]jaeger.Dead0"		"<clr:198,226,255><B>Jaeger:<B> [Death]"
"jaeger.Dead0"		"<clr:198,226,255><B>Яґер:<B> [Смерть]"

"[english]jaeger.Dead1"		"<clr:198,226,255><B>Jaeger:<B> [Death]"
"jaeger.Dead1"		"<clr:198,226,255><B>Яґер:<B> [Смерть]"

"[english]jaeger.OnFire0"		"<clr:198,226,255><B>Jaeger:<B> [Pain]"
"jaeger.OnFire0"		"<clr:198,226,255><B>Яґер:<B> [Біль]"

"[english]jaeger.OnFire1"		"<clr:198,226,255><B>Jaeger:<B> [Pain]"
"jaeger.OnFire1"		"<clr:198,226,255><B>Яґер:<B> [Біль]"

"[english]jaeger.MineDeployed0"		"<clr:198,226,255><B>Jaeger:<B> Incendiary mine deployed!"
"jaeger.MineDeployed0"		"<clr:198,226,255><B>Яґер:<B> Запалювальна міна встановлена!"

"[english]jaeger.MineDeployed1"		"<clr:198,226,255><B>Jaeger:<B> Mine deployed!"
"jaeger.MineDeployed1"		"<clr:198,226,255><B>Яґер:<B> Міна встановлена!"

"[english]jaeger.MineDeployed2"		"<clr:198,226,255><B>Jaeger:<B> Mine in place!"
"jaeger.MineDeployed2"		"<clr:198,226,255><B>Яґер:<B> Міна на місці!"

"[english]jaeger.MineDeployed3"		"<clr:198,226,255><B>Jaeger:<B> Watch it! Mine!"
"jaeger.MineDeployed3"		"<clr:198,226,255><B>Яґер:<B> Обережно! Міна!"

"[english]jaeger.ActivateStims0"		"<clr:198,226,255><B>Jaeger:<B> Hit the stims!"
"jaeger.ActivateStims0"		"<clr:198,226,255><B>Яґер:<B> Нужбо, адреналін!"

"[english]jaeger.ActivateStims1"		"<clr:198,226,255><B>Jaeger:<B> Stim now!"
"jaeger.ActivateStims1"		"<clr:198,226,255><B>Яґер:<B> Адреналін, зараз!"

"[english]jaeger.ComplimentsSarge0"		"<clr:198,226,255><B>Jaeger:<B> Ha! Good kill, Conrad!"
"jaeger.ComplimentsSarge0"		"<clr:198,226,255><B>Яґер:<B> Ха! Непогано, Конраде!"

"[english]jaeger.Selection0"		"<clr:198,226,255><B>Jaeger:<B> Good to go."
"jaeger.Selection0"		"<clr:198,226,255><B>Яґер:<B> Готовий вирушати."

"[english]jaeger.Selection1"		"<clr:198,226,255><B>Jaeger:<B> Jaeger here."
"jaeger.Selection1"		"<clr:198,226,255><B>Яґер:<B> Яґер тут."

// Sarge

"[english]sarge.SargeIdle0"		"<clr:238,207,161><B>Sarge:<B> You know the claws on a swarm drone can rip right through our armor."
"sarge.SargeIdle0"		"<clr:238,207,161><B>Сержант:<B> Ви знаєте, кігті дрона можуть протнути нашу броню."


"[english]sarge.SargeIdle1"		"<clr:238,207,161><B>Sarge:<B> I once saw a marine have his hand bitten clean off by one of these things."
"sarge.SargeIdle1"		"<clr:238,207,161><B>Сержант:<B> Одного разу я бачив, як одна з цих тварюк відкусила руку десантнику."


"[english]sarge.SargeIdleReply0"		"<clr:238,207,161><B>Sarge:<B> Watch your mouth, Marine."
"sarge.SargeIdleReply0"		"<clr:238,207,161><B>Сержант:<B> Слідкуй за язиком, боєць."


"[english]sarge.SargeIdleReply1"		"<clr:238,207,161><B>Sarge:<B> You secure that shit."
"sarge.SargeIdleReply1"		"<clr:238,207,161><B>Сержант:<B> Займися цим лайном."


"[english]sarge.BigAlienDeadReply0"		"<clr:238,207,161><B>Sarge:<B> Yeah, getting ugly."
"sarge.BigAlienDeadReply0"		"<clr:238,207,161><B>Сержант:<B> Так, стає небезпечно."


"[english]sarge.MedicComplainReply0"		"<clr:238,207,161><B>Sarge:<B> That's part of the job."
"sarge.MedicComplainReply0"		"<clr:238,207,161><B>Сержант:<B> Це частина роботи."


"[english]sarge.TequilaReply0"		"<clr:238,207,161><B>Sarge:<B> Hey, no drinking on the job."
"sarge.TequilaReply0"		"<clr:238,207,161><B>Сержант:<B> Ей, ніякої випивки на роботі."


"[english]sarge.TequilaReply1"		"<clr:238,207,161><B>Sarge:<B> You know what they got in the supply closet? That stuff kicks you in the head."
"sarge.TequilaReply1"		"<clr:238,207,161><B>Сержант:<B> Знаєш, що у них у шафі з припасами? Ця штука зносить голову."


"[english]sarge.CrashIdleReply0"		"<clr:238,207,161><B>Sarge:<B> Did you sleep through the briefing again?"
"sarge.CrashIdleReply0"		"<clr:238,207,161><B>Сержант:<B> Боєць, знову проспав інструктаж?"


"[english]sarge.InjuredSelection0"		"<clr:238,207,161><B>Sarge:<B> My first campaign wasn't this tough."
"sarge.InjuredSelection0"		"<clr:238,207,161><B>Сержант:<B> Моя перша кампанія не була настільки важкою."


"[english]sarge.InjuredSelection1"		"<clr:238,207,161><B>Sarge:<B> We should pull back and reassess this."
"sarge.InjuredSelection1"		"<clr:238,207,161><B>Сержант:<B> Нам треба відступити і ще раз оцінити це."


"[english]sarge.InjuredSelection2"		"<clr:238,207,161><B>Sarge:<B> Make it quick."
"sarge.InjuredSelection2"		"<clr:238,207,161><B>Сержант:<B> Давай швидко."


"[english]sarge.InjuredSelection3"		"<clr:238,207,161><B>Sarge:<B> This is tough."
"sarge.InjuredSelection3"		"<clr:238,207,161><B>Сержант:<B> Кепсько."


"[english]sarge.SeriousInjuryReply0"		"<clr:238,207,161><B>Sarge:<B> Shit, it's not that bad."
"sarge.SeriousInjuryReply0"		"<clr:238,207,161><B>Сержант:<B> Лайно, це не так і погано."


"[english]sarge.SeriousInjuryReply1"		"<clr:238,207,161><B>Sarge:<B> Shit, it ain't that bad."
"sarge.SeriousInjuryReply1"		"<clr:238,207,161><B>Сержант:<B> Лайно, це не так вже й погано."


"[english]sarge.AutogunReply0"		"<clr:238,207,161><B>Sarge:<B> Shoot em up, cut em down."
"sarge.AutogunReply0"		"<clr:238,207,161><B>Сержант:<B> Розстріляйте та поріжте їх."


"[english]sarge.AutogunReply1"		"<clr:238,207,161><B>Sarge:<B> Yeah, show em what you got!"
"sarge.AutogunReply1"		"<clr:238,207,161><B>Сержант:<B> Так, покажіть їм, на що ви здатні!"


"[english]sarge.AutogunReply2"		"<clr:238,207,161><B>Sarge:<B> Shoot em up, cut em down!"
"sarge.AutogunReply2"		"<clr:238,207,161><B>Сержант:<B> Розстріляйте та поріжте їх!"


"[english]sarge.Use0"		"<clr:238,207,161><B>Sarge:<B> Roger."
"sarge.Use0"		"<clr:238,207,161><B>Сержант:<B> Зрозумів."


"[english]sarge.Use1"		"<clr:238,207,161><B>Sarge:<B> Got it!"
"sarge.Use1"		"<clr:238,207,161><B>Сержант:<B> Зрозумів!"


"[english]sarge.Use2"		"<clr:238,207,161><B>Sarge:<B> Looks good."
"sarge.Use2"		"<clr:238,207,161><B>Сержант:<B> Непогано."


"[english]sarge.Use3"		"<clr:238,207,161><B>Sarge:<B> Okay."
"sarge.Use3"		"<clr:238,207,161><B>Сержант:<B> Гаразд."


"[english]sarge.Idle0"		"<clr:238,207,161><B>Sarge:<B> Stay alert people, there's still plenty of ass waiting to be kicked."
"sarge.Idle0"		"<clr:238,207,161><B>Сержант:<B> Будьте пильними, хлопці, ще не одна дупа чекає, аби її надерли."


"[english]sarge.Idle1"		"<clr:238,207,161><B>Sarge:<B> Why can't Syntek ever do anything by the books."
"sarge.Idle1"		"<clr:238,207,161><B>Сержант:<B> І чому «СінТек» не може просто діяти за правилами?"


"[english]sarge.Idle2"		"<clr:238,207,161><B>Sarge:<B> Watch your spacing, team."
"sarge.Idle2"		"<clr:238,207,161><B>Сержант:<B> Стежте за дистанцією, бійці."


"[english]sarge.Idle3"		"<clr:238,207,161><B>Sarge:<B> Remember your training, marines."
"sarge.Idle3"		"<clr:238,207,161><B>Сержант:<B> Згадайте чого вас учили, бійці."


"[english]sarge.Idle4"		"<clr:238,207,161><B>Sarge:<B> Stay sharp, marines."
"sarge.Idle4"		"<clr:238,207,161><B>Сержант:<B> Будьте пильні, бійці."


"[english]sarge.Idle5"		"<clr:238,207,161><B>Sarge:<B> Stay sharp, look alive."
"sarge.Idle5"		"<clr:238,207,161><B>Сержант:<B> Будьте пильні, жвавіше."


"[english]sarge.Idle6"		"<clr:238,207,161><B>Sarge:<B> There's a lot more swarm to kill yet."
"sarge.Idle6"		"<clr:238,207,161><B>Сержант:<B> Ще багатьох із Рою треба вбити."


"[english]sarge.Idle7"		"<clr:238,207,161><B>Sarge:<B> I love this job."
"sarge.Idle7"		"<clr:238,207,161><B>Сержант:<B> Люблю цю роботу."


"[english]sarge.Idle8"		"<clr:238,207,161><B>Sarge:<B> Ah, another fine day in the Interstellar Armed Forces."
"sarge.Idle8"		"<clr:238,207,161><B>Сержант:<B> Ах, ще один чудовий день у Міжзоряних Збройних Силах."


"[english]sarge.Idle9"		"<clr:238,207,161><B>Sarge:<B> So far, so good."
"sarge.Idle9"		"<clr:238,207,161><B>Сержант:<B> Поки що все добре."


"[english]sarge.Idle10"		"<clr:238,207,161><B>Sarge:<B> So far, so good."
"sarge.Idle10"		"<clr:238,207,161><B>Сержант:<B> Поки що все добре."


"[english]sarge.Idle11"		"<clr:238,207,161><B>Sarge:<B> After this, I'm retiring."
"sarge.Idle11"		"<clr:238,207,161><B>Сержант:<B> Після цього йду у відставку."


"[english]sarge.Idle12"		"<clr:238,207,161><B>Sarge:<B> This is the Interstellar Armed Forces, not a Gaddamned picnic."
"sarge.Idle12"		"<clr:238,207,161><B>Сержант:<B> Це Міжзоряні Збройні Сили, а не чортів пікнік."


"[english]sarge.Idle13"		"<clr:238,207,161><B>Sarge:<B> Well, time to earn those paychecks."
"sarge.Idle13"		"<clr:238,207,161><B>Сержант:<B> Гаразд, пора відпрацювати зарплатню."


"[english]sarge.Idle14"		"<clr:238,207,161><B>Sarge:<B> Check your corners."
"sarge.Idle14"		"<clr:238,207,161><B>Сержант:<B> Стежте за кутками."


"[english]sarge.Idle15"		"<clr:238,207,161><B>Sarge:<B> Secure the perimeter."
"sarge.Idle15"		"<clr:238,207,161><B>Сержант:<B> Беріть під контроль периметр."


"[english]sarge.Idle16"		"<clr:238,207,161><B>Sarge:<B> Proceed by squads, we got a job to do."
"sarge.Idle16"		"<clr:238,207,161><B>Сержант:<B> Рухаймося далі, загоне, у нас ще є робота."


"[english]sarge.Idle17"		"<clr:238,207,161><B>Sarge:<B> Let's do this by the book."
"sarge.Idle17"		"<clr:238,207,161><B>Сержант:<B> Давайте дотримуватися статуту."


"[english]sarge.FF0"		"<clr:238,207,161><B>Sarge:<B> Check your targets!"
"sarge.FF0"		"<clr:238,207,161><B>Сержант:<B> Дивись куди стріляєш!"


"[english]sarge.FF1"		"<clr:238,207,161><B>Sarge:<B> Watch it, you hear?"
"sarge.FF1"		"<clr:238,207,161><B>Сержант:<B> Обережно, чуєш?"


"[english]sarge.FiringAtAlien0"		"<clr:238,207,161><B>Sarge:<B> Contact!"
"sarge.FiringAtAlien0"		"<clr:238,207,161><B>Сержант:<B> Контакт!"


"[english]sarge.FiringAtAlien1"		"<clr:238,207,161><B>Sarge:<B> Let em have it!"
"sarge.FiringAtAlien1"		"<clr:238,207,161><B>Сержант:<B> Дамо їм!"


"[english]sarge.FiringAtAlien2"		"<clr:238,207,161><B>Sarge:<B> Arrrgh!"
"sarge.FiringAtAlien2"		"<clr:238,207,161><B>Сержант:<B> Аррргх!"


"[english]sarge.FiringAtAlien3"		"<clr:238,207,161><B>Sarge:<B> Target!"
"sarge.FiringAtAlien3"		"<clr:238,207,161><B>Сержант:<B> Ворог!"


"[english]sarge.FollowMe0"		"<clr:238,207,161><B>Sarge:<B> Follow me!"
"sarge.FollowMe0"		"<clr:238,207,161><B>Сержант:<B> За мною!"


"[english]sarge.FollowMe1"		"<clr:238,207,161><B>Sarge:<B> Let's move on out, soldiers!"
"sarge.FollowMe1"		"<clr:238,207,161><B>Сержант:<B> Ходімо, солдати!"


"[english]sarge.FollowMe2"		"<clr:238,207,161><B>Sarge:<B> Saddle up."
"sarge.FollowMe2"		"<clr:238,207,161><B>Сержант:<B> По конях."


"[english]sarge.HoldPosition0"		"<clr:238,207,161><B>Sarge:<B> Hold position."
"sarge.HoldPosition0"		"<clr:238,207,161><B>Сержант:<B> Тримайте позиції."


"[english]sarge.HoldPosition1"		"<clr:238,207,161><B>Sarge:<B> Wait here."
"sarge.HoldPosition1"		"<clr:238,207,161><B>Сержант:<B> Чекайте тут."


"[english]sarge.NeedAmmo0"		"<clr:238,207,161><B>Sarge:<B> Need ammo!"
"sarge.NeedAmmo0"		"<clr:238,207,161><B>Сержант:<B> Потрібні набої!"


"[english]sarge.NoAmmo0"		"<clr:238,207,161><B>Sarge:<B> Shit, out of ammo."
"sarge.NoAmmo0"		"<clr:238,207,161><B>Сержант:<B> Лайно, скінчилися набої."


"[english]sarge.NoAmmo1"		"<clr:238,207,161><B>Sarge:<B> No ammo."
"sarge.NoAmmo1"		"<clr:238,207,161><B>Сержант:<B> Нема набоїв."


"[english]sarge.NoAmmo2"		"<clr:238,207,161><B>Sarge:<B> Damn, out of ammo."
"sarge.NoAmmo2"		"<clr:238,207,161><B>Сержант:<B> Чорт, нема набоїв."


"[english]sarge.NoAmmo3"		"<clr:238,207,161><B>Sarge:<B> I'm out of ammo."
"sarge.NoAmmo3"		"<clr:238,207,161><B>Сержант:<B> У мене скінчилися набої."


"[english]sarge.SargeJaegerConv10"		"<clr:238,207,161><B>Sarge:<B> Just like back in 38, eh Jaeger?"
"sarge.SargeJaegerConv10"		"<clr:238,207,161><B>Сержант:<B> Майже як в 38-му, так, Яґере?"


"[english]sarge.SargeJaegerConv11"		"<clr:238,207,161><B>Sarge:<B> This place reminds me of Tilarus-9."
"sarge.SargeJaegerConv11"		"<clr:238,207,161><B>Сержант:<B> Це місце нагадує мені Тіларус-9."


"[english]sarge.SargeJaegerConv1Reply0"		"<clr:238,207,161><B>Sarge:<B> Well, we made it through last time."
"sarge.SargeJaegerConv1Reply0"		"<clr:238,207,161><B>Сержант:<B> Так, у нас вийшло минулого разу."


"[english]sarge.SargeJaegerConv1Reply1"		"<clr:238,207,161><B>Sarge:<B> I need a drink."
"sarge.SargeJaegerConv1Reply1"		"<clr:238,207,161><B>Сержант:<B> Я хочу випити."


"[english]sarge.SargeJaegerConv2Reply0"		"<clr:238,207,161><B>Sarge:<B> Yeah, and I though I'd served my time in hell."
"sarge.SargeJaegerConv2Reply0"		"<clr:238,207,161><B>Сержант:<B> Так, гадаю, я відслужив свій термін у пеклі."


"[english]sarge.SargeJaegerConv2Reply1"		"<clr:238,207,161><B>Sarge:<B> I remember it. I just hope it doesn't have to come to that."
"sarge.SargeJaegerConv2Reply1"		"<clr:238,207,161><B>Сержант:<B> Пам’ятаю. Я тільки сподіваюся, що до цього не дійде."


"[english]sarge.Medic0"		"<clr:238,207,161><B>Sarge:<B> Medic!"
"sarge.Medic0"		"<clr:238,207,161><B>Сержант:<B> Лікаря!"


"[english]sarge.Misc0"		"<clr:238,207,161><B>Sarge:<B> Squad, form up."
"sarge.Misc0"		"<clr:238,207,161><B>Сержант:<B> Загоне, групуймося."


"[english]sarge.Misc1"		"<clr:238,207,161><B>Sarge:<B> Secure the Perimeter, I want this place locked down nice and tight."
"sarge.Misc1"		"<clr:238,207,161><B>Сержант:<B> Забезпечте периметр, я хочу, щоб це місце було тихим і затишним."


"[english]sarge.Misc2"		"<clr:238,207,161><B>Sarge:<B> Marines, into positions."
"sarge.Misc2"		"<clr:238,207,161><B>Сержант:<B> Бійці, на позиції."


"[english]sarge.Reloading0"		"<clr:238,207,161><B>Sarge:<B> Lock and load."
"sarge.Reloading0"		"<clr:238,207,161><B>Сержант:<B> Перезаряджаюсь."


"[english]sarge.Reloading1"		"<clr:238,207,161><B>Sarge:<B> Reload."
"sarge.Reloading1"		"<clr:238,207,161><B>Сержант:<B> Перезарядка."


"[english]sarge.Reloading2"		"<clr:238,207,161><B>Sarge:<B> Reload."
"sarge.Reloading2"		"<clr:238,207,161><B>Сержант:<B> Перезарядка."


"[english]sarge.Reloading3"		"<clr:238,207,161><B>Sarge:<B> Reload, cover me!"
"sarge.Reloading3"		"<clr:238,207,161><B>Сержант:<B> Перезарядка, прикрийте мене!"


"[english]sarge.SentryInPlace0"		"<clr:238,207,161><B>Sarge:<B> Sentry in place."
"sarge.SentryInPlace0"		"<clr:238,207,161><B>Сержант:<B> Турель на позиції."


"[english]sarge.SentryInPlace1"		"<clr:238,207,161><B>Sarge:<B> Sentry online."
"sarge.SentryInPlace1"		"<clr:238,207,161><B>Сержант:<B> Турель активована."


"[english]sarge.SentryInPlace2"		"<clr:238,207,161><B>Sarge:<B> Sentry assembled."
"sarge.SentryInPlace2"		"<clr:238,207,161><B>Сержант:<B> Турель готова."


"[english]sarge.Ammo0"		"<clr:238,207,161><B>Sarge:<B> Ammo."
"sarge.Ammo0"		"<clr:238,207,161><B>Сержант:<B> Набої."


"[english]sarge.Medkit0"		"<clr:238,207,161><B>Sarge:<B> Medkit."
"sarge.Medkit0"		"<clr:238,207,161><B>Сержант:<B> Аптечка."


"[english]sarge.Thanks0"		"<clr:238,207,161><B>Sarge:<B> Thanks."
"sarge.Thanks0"		"<clr:238,207,161><B>Сержант:<B> Дякую."


"[english]sarge.Thanks1"		"<clr:238,207,161><B>Sarge:<B> Thanks, marine."
"sarge.Thanks1"		"<clr:238,207,161><B>Сержант:<B> Дякую, боєць."


"[english]sarge.Question0"		"<clr:238,207,161><B>Sarge:<B> Huh?"
"sarge.Question0"		"<clr:238,207,161><B>Сержант:<B> Так?"


"[english]sarge.Question1"		"<clr:238,207,161><B>Sarge:<B> What?"
"sarge.Question1"		"<clr:238,207,161><B>Сержант:<B> Що?"


"[english]sarge.Question2"		"<clr:238,207,161><B>Sarge:<B> What is it, marine?"
"sarge.Question2"		"<clr:238,207,161><B>Сержант:<B> Що таке, боєць?"


"[english]sarge.Question3"		"<clr:238,207,161><B>Sarge:<B> Yeah?"
"sarge.Question3"		"<clr:238,207,161><B>Сержант:<B> Так?"


"[english]sarge.CallJaeger0"		"<clr:238,207,161><B>Sarge:<B> Jaeger?"
"sarge.CallJaeger0"		"<clr:238,207,161><B>Сержант:<B> Яґере?"


"[english]sarge.CallJaeger1"		"<clr:238,207,161><B>Sarge:<B> Hey, Jaeger."
"sarge.CallJaeger1"		"<clr:238,207,161><B>Сержант:<B> Агов, Ягере."


"[english]sarge.CallWildcat0"		"<clr:238,207,161><B>Sarge:<B> Wildcat."
"sarge.CallWildcat0"		"<clr:238,207,161><B>Сержант:<B> Рисе."


"[english]sarge.CallWildcat1"		"<clr:238,207,161><B>Sarge:<B> Hey, Wildcat."
"sarge.CallWildcat1"		"<clr:238,207,161><B>Сержант:<B> Агов, Рисе."


"[english]sarge.CallWolfe0"		"<clr:238,207,161><B>Sarge:<B> Hey, Wolfe."
"sarge.CallWolfe0"		"<clr:238,207,161><B>Сержант:<B> Агов, Вульфе."


"[english]sarge.CallWolfe1"		"<clr:238,207,161><B>Sarge:<B> Wolfe!"
"sarge.CallWolfe1"		"<clr:238,207,161><B>Сержант:<B> Вульфе!"


"[english]sarge.CallFaith0"		"<clr:238,207,161><B>Sarge:<B> Faith!"
"sarge.CallFaith0"		"<clr:238,207,161><B>Сержант:<B> Віро!"


"[english]sarge.CallFaith1"		"<clr:238,207,161><B>Sarge:<B> Hey, Faith!"
"sarge.CallFaith1"		"<clr:238,207,161><B>Сержант:<B> Агов, Віро!"


"[english]sarge.CallBastille0"		"<clr:238,207,161><B>Sarge:<B> Bastille!"
"sarge.CallBastille0"		"<clr:238,207,161><B>Сержант:<B> Бастиле!"


"[english]sarge.CallBastille1"		"<clr:238,207,161><B>Sarge:<B> Hey, Bastille!"
"sarge.CallBastille1"		"<clr:238,207,161><B>Сержант:<B> Агов, Бастиле!"


"[english]sarge.CallCrash0"		"<clr:238,207,161><B>Sarge:<B> Crash."
"sarge.CallCrash0"		"<clr:238,207,161><B>Сержант:<B> Креше."


"[english]sarge.CallCrash1"		"<clr:238,207,161><B>Sarge:<B> Hey, Crash."
"sarge.CallCrash1"		"<clr:238,207,161><B>Сержант:<B> Агов, Креше."


"[english]sarge.CallFlynn0"		"<clr:238,207,161><B>Sarge:<B> Flynn!"
"sarge.CallFlynn0"		"<clr:238,207,161><B>Сержант:<B> Флінне!"


"[english]sarge.CallFlynn1"		"<clr:238,207,161><B>Sarge:<B> Hey, Flynn."
"sarge.CallFlynn1"		"<clr:238,207,161><B>Сержант:<B> Агов, Флінне."


"[english]sarge.CallVegas0"		"<clr:238,207,161><B>Sarge:<B> Vegas!"
"sarge.CallVegas0"		"<clr:238,207,161><B>Сержант:<B> Веґасе!"


"[english]sarge.CallVegas1"		"<clr:238,207,161><B>Sarge:<B> Hey, Vegas."
"sarge.CallVegas1"		"<clr:238,207,161><B>Сержант:<B> Агов, Веґасе."


"[english]sarge.CallVegas2"		"<clr:238,207,161><B>Sarge:<B> Hey Vegas, listen up."
"sarge.CallVegas2"		"<clr:238,207,161><B>Сержант:<B> Агов, Веґасе, слухай сюди."


"[english]sarge.SuppliesAmmo0"		"<clr:238,207,161><B>Sarge:<B> Good, supplies. Take what you need."
"sarge.SuppliesAmmo0"		"<clr:238,207,161><B>Сержант:<B> Чудово, боєприпаси. Беріть, що вам потрібно."


"[english]sarge.SuppliesAmmo1"		"<clr:238,207,161><B>Sarge:<B> Good, supplies. Lock and load, marines."
"sarge.SuppliesAmmo1"		"<clr:238,207,161><B>Сержант:<B> Чудово, боєприпаси. Перезаряджаємось, бійці."


"[english]sarge.SuppliesAmmo2"		"<clr:238,207,161><B>Sarge:<B> Take what you need, and stand to."
